;Hombre;Mujer;Total
 Edad 0;   54 215;   52 402;   106 617
 Edad 1 año;   56 451;   54 627;   111 078
 Edad 2 años;   60 463;   58 734;   119 197
 Edad 3 años;   64 029;   61 520;   125 549
 Edad 4 años;   65 378;   62 916;   128 294
 Edad 5 años;   61 652;   59 583;   121 235
 Edad 6 años;   63 231;   60 948;   124 179
 Edad 7 años;   65 950;   64 441;   130 391
 Edad 8 años;   68 396;   66 921;   135 317
 Edad 9 años;   66 675;   65 108;   131 783
 Edad 10 años;   66 182;   64 665;   130 847
 Edad 11 años;   69 719;   68 193;   137 912
 Edad 12 años;   71 152;   67 907;   139 059
 Edad 13 años;   67 695;   64 622;   132 317
 Edad 14 años;   64 487;   61 377;   125 864
 Edad 15 años;   61 157;   57 063;   118 220
 Edad 16 años;   58 966;   54 471;   113 437
 Edad 17 años;   55 295;   51 035;   106 330
 Edad 18 años;   49 702;   46 776;   96 478
 Edad 19 años;   43 447;   41 945;   85 392
 Edad 20 años;   42 341;   42 514;   84 855
 Edad 21 años;   42 156;   42 617;   84 773
 Edad 22 años;   43 039;   43 331;   86 370
 Edad 23 años;   41 365;   42 268;   83 633
 Edad 24 años;   41 384;   42 507;   83 891
 Edad 25 años;   41 408;   42 100;   83 508
 Edad 26 años;   38 860;   39 436;   78 296
 Edad 27 años;   39 661;   39 608;   79 269
 Edad 28 años;   39 967;   39 297;   79 264
 Edad 29 años;   42 424;   41 887;   84 311
 Edad 30 años;   42 786;   41 463;   84 249
 Edad 31 años;   40 281;   39 768;   80 049
 Edad 32 años;   41 994;   40 177;   82 171
 Edad 33 años;   39 782;   38 088;   77 870
 Edad 34 años;   40 942;   39 146;   80 088
 Edad 35 años;   41 403;   38 856;   80 259
 Edad 36 años;   38 506;   36 127;   74 633
 Edad 37 años;   39 288;   37 080;   76 368
 Edad 38 años;   39 598;   36 990;   76 588
 Edad 39 años;   38 127;   35 809;   73 936
 Edad 40 años;   39 755;   37 121;   76 876
 Edad 41 años;   37 693;   35 425;   73 118
 Edad 42 años;   37 520;   35 515;   73 035
 Edad 43 años;   36 495;   34 365;   70 860
 Edad 44 años;   35 026;   33 335;   68 361
 Edad 45 años;   34 686;   33 473;   68 159
 Edad 46 años;   32 982;   31 926;   64 908
 Edad 47 años;   34 567;   33 057;   67 624
 Edad 48 años;   30 534;   29 544;   60 078
 Edad 49 años;   31 789;   30 429;   62 218
 Edad 50 años;   31 260;   29 424;   60 684
 Edad 51 años;   32 754;   31 127;   63 881
 Edad 52 años;   32 058;   29 971;   62 029
 Edad 53 años;   28 919;   27 865;   56 784
 Edad 54 años;   27 561;   26 584;   54 145
 Edad 55 años;   27 155;   26 179;   53 334
 Edad 56 años;   26 657;   25 199;   51 856
 Edad 57 años;   28 171;   26 418;   54 589
 Edad 58 años;   26 253;   23 956;   50 209
 Edad 59 años;   22 815;   22 391;   45 206
 Edad 60 años;   21 447;   21 779;   43 226
 Edad 61 años;   21 360;   21 617;   42 977
 Edad 62 años;   22 483;   21 750;   44 233
 Edad 63 años;   21 454;   20 976;   42 430
 Edad 64 años;   21 064;   20 421;   41 485
 Edad 65 años;   19 609;   19 394;   39 003
 Edad 66 años;   18 295;   18 311;   36 606
 Edad 67 años;   18 570;   19 368;   37 938
 Edad 68 años;   16 519;   16 299;   32 818
 Edad 69 años;   16 401;   16 393;   32 794
 Edad 70 años;   16 603;   16 672;   33 275
 Edad 71 años;   14 854;   15 262;   30 116
 Edad 72 años;   15 141;   16 293;   31 434
 Edad 73 años;   14 122;   14 942;   29 064
 Edad 74 años;   13 251;   13 640;   26 891
 Edad 75 años;   13 188;   14 006;   27 194
 Edad 76 años;   11 074;   11 748;   22 822
 Edad 77 años;   12 081;   13 760;   25 841
 Edad 78 años;   10 137;   11 128;   21 265
 Edad 79 años;   9 432;   10 302;   19 734
 Edad 80 años;   8 845;   9 635;   18 480
 Edad 81 años;   7 935;   8 927;   16 862
 Edad 82 años;   7 522;   9 009;   16 531
 Edad 83 años;   6 363;   7 477;   13 840
 Edad 84 años;   5 701;   6 532;   12 233
 Edad 85 años;   5 153;   6 136;   11 289
 Edad 86 años;   4 197;   4 839;   9 036
 Edad 87 años;   3 878;   5 372;   9 250
 Edad 88 años;   2 478;   3 179;   5 657
 Edad 89 años;   2 332;   2 951;   5 283
 Edad 90 años;   1 862;   2 332;   4 194
 Edad 91 años;   1 322;   1 779;   3 101
 Edad 92 años;   1 178;   1 693;   2 871
 Edad 93 años;    866;   1 227;   2 093
 Edad 94 años;    583;    887;   1 470
 Edad 95 años;    473;    853;   1 326
 Edad 96 años;    410;    579;    989
 Edad 97 años;    326;    595;    921
 Edad 98 años;    201;    292;    493
 Edad 99 años;    99;    214;    313
 Edad 100 años;    86;    154;    240
 Edad 101 años;    36;    91;    127
 Edad 102 años;    45;    82;    127
 Edad 103 años;    17;    53;    70
 Edad 104 años;    14;    37;    51
 Edad 105 años;    17;    36;    53
 Edad 106 años;    10;    19;    29
 Edad 107 años;    15;    17;    32
 Edad 108 años;    2;    7;    9
 Edad 109 años;    4;    5;    9
 Edad 110 años;    3;    6;    9
 Edad 111 años;    2;    3;    5
 Edad 112 años;    3;    6;    9
 Edad 113 años;    1;    2;    3
 Edad 114 años;-;    1;    1
 Edad 115 años;    3;    5;    8
 Total;  3 073 271;  2 996 720;  6 069 991
