Día,Plato1,Plato2,Plato3,Plato4,Plato5
1,78,32,59,52,49
2,68,66,85,24,49
3,54,36,63,58,60
4,47,50,80,47,47
5,60,38,64,26,66
6,78,68,57,28,73
7,58,47,63,27,66
8,62,33,72,31,38
9,50,54,89,53,64
10,50,43,70,52,71
11,63,38,65,42,57
12,75,55,67,43,73
13,79,31,73,56,49
14,63,49,75,54,63
15,42,57,74,59,70
16,61,36,78,41,47
17,41,37,64,46,66
18,63,64,50,54,41
19,69,43,74,20,56
20,77,46,56,54,62
21,41,65,58,56,36
22,60,69,73,33,40
23,72,33,50,22,62
24,51,31,57,20,62
25,61,35,73,24,54
26,64,33,60,45,64
27,66,58,66,33,45
28,67,47,57,58,62
29,55,55,84,46,59
30,54,63,84,28,73
